YEAR,MO,DY,HR,IRRADIATION
2020,1,1,2,0.0
2020,1,1,3,0.0
2020,1,1,4,0.0
2020,1,1,5,0.0
2020,1,1,6,0.0
2020,1,1,7,0.0
2020,1,1,8,23.78
2020,1,1,9,73.82
2020,1,1,10,163.12
2020,1,1,11,192.46
2020,1,1,12,244.34
2020,1,1,13,218.82
2020,1,1,14,184.84
2020,1,1,15,92.81
2020,1,1,16,17.22
2020,1,1,17,0.0
2020,1,1,18,0.0
2020,1,1,19,0.0
2020,1,1,20,0.0
2020,1,1,21,0.0
2020,1,1,22,0.0
2020,1,1,23,0.0
2020,1,2,0,0.0
2020,1,2,1,0.0
2020,1,2,2,0.0
2020,1,2,3,0.0
2020,1,2,4,0.0
2020,1,2,5,0.0
2020,1,2,6,0.0
2020,1,2,7,0.0
2020,1,2,8,30.28
2020,1,2,9,126.43
2020,1,2,10,222.04
2020,1,2,11,299.16
2020,1,2,12,298.88
2020,1,2,13,256.49
2020,1,2,14,183.88
2020,1,2,15,102.73
2020,1,2,16,17.17
2020,1,2,17,0.0
2020,1,2,18,0.0
2020,1,2,19,0.0
2020,1,2,20,0.0
2020,1,2,21,0.0
2020,1,2,22,0.0
2020,1,2,23,0.0
2020,1,3,0,0.0
2020,1,3,1,0.0
2020,1,3,2,0.0
2020,1,3,3,0.0
2020,1,3,4,0.0
2020,1,3,5,0.0
2020,1,3,6,0.0
2020,1,3,7,0.0
2020,1,3,8,28.38
2020,1,3,9,107.8
2020,1,3,10,204.12
2020,1,3,11,256.63
2020,1,3,12,304.7
2020,1,3,13,298.09
2020,1,3,14,248.98
2020,1,3,15,128.6
2020,1,3,16,22.66
2020,1,3,17,0.0
2020,1,3,18,0.0
2020,1,3,19,0.0
2020,1,3,20,0.0
2020,1,3,21,0.0
2020,1,3,22,0.0
2020,1,3,23,0.0
2020,1,4,0,0.0
2020,1,4,1,0.0
2020,1,4,2,0.0
2020,1,4,3,0.0
2020,1,4,4,0.0
2020,1,4,5,0.0
2020,1,4,6,0.0
2020,1,4,7,0.0
2020,1,4,8,25.84
2020,1,4,9,99.46
2020,1,4,10,199.85
2020,1,4,11,245.79
2020,1,4,12,234.57
2020,1,4,13,219.72
2020,1,4,14,166.57
2020,1,4,15,95.77
2020,1,4,16,22.53
2020,1,4,17,0.0
2020,1,4,18,0.0
2020,1,4,19,0.0
2020,1,4,20,0.0
2020,1,4,21,0.0
2020,1,4,22,0.0
2020,1,4,23,0.0
2020,1,5,0,0.0
2020,1,5,1,0.0
2020,1,5,2,0.0
2020,1,5,3,0.0
2020,1,5,4,0.0
2020,1,5,5,0.0
2020,1,5,6,0.0
2020,1,5,7,0.0
2020,1,5,8,20.45
2020,1,5,9,77.01
2020,1,5,10,93.43
2020,1,5,11,138.57
2020,1,5,12,185.15
2020,1,5,13,186.65
2020,1,5,14,104.07
2020,1,5,15,58.16
2020,1,5,16,21.2
2020,1,5,17,0.0
2020,1,5,18,0.0
2020,1,5,19,0.0
2020,1,5,20,0.0
2020,1,5,21,0.0
2020,1,5,22,0.0
2020,1,5,23,0.0
2020,1,6,0,0.0
2020,1,6,1,0.0
2020,1,6,2,0.0
2020,1,6,3,0.0
2020,1,6,4,0.0
2020,1,6,5,0.0
2020,1,6,6,0.0
2020,1,6,7,0.0
2020,1,6,8,27.86
2020,1,6,9,99.97
2020,1,6,10,189.27
2020,1,6,11,242.27
2020,1,6,12,280.23
2020,1,6,13,236.34
2020,1,6,14,197.3
2020,1,6,15,109.11
2020,1,6,16,25.08
2020,1,6,17,0.0
2020,1,6,18,0.0
2020,1,6,19,0.0
2020,1,6,20,0.0
2020,1,6,21,0.0
2020,1,6,22,0.0
2020,1,6,23,0.0
2020,1,7,0,0.0
2020,1,7,1,0.0
2020,1,7,2,0.0
