YEAR,MO,DY,HR,TEMPERATURE
2020,1,1,2,1.61
2020,1,1,3,1.55
2020,1,1,4,1.53
2020,1,1,5,1.53
2020,1,1,6,1.3
2020,1,1,7,0.78
2020,1,1,8,0.28
2020,1,1,9,0.87
2020,1,1,10,1.69
2020,1,1,11,2.3
2020,1,1,12,2.46
2020,1,1,13,2.43
2020,1,1,14,2.11
2020,1,1,15,1.57
2020,1,1,16,0.67
2020,1,1,17,-0.6
2020,1,1,18,-1.7
2020,1,1,19,-2.61
2020,1,1,20,-2.54
2020,1,1,21,-2.35
2020,1,1,22,-2.24
2020,1,1,23,-2.22
2020,1,2,0,-2.23
2020,1,2,1,-2.71
2020,1,2,2,-4.06
2020,1,2,3,-5.28
2020,1,2,4,-5.75
2020,1,2,5,-5.86
2020,1,2,6,-5.77
2020,1,2,7,-5.56
2020,1,2,8,-4.36
2020,1,2,9,-1.85
2020,1,2,10,0.71
2020,1,2,11,2.08
2020,1,2,12,2.65
2020,1,2,13,3.01
2020,1,2,14,3.07
2020,1,2,15,1.3
2020,1,2,16,-0.35
2020,1,2,17,-1.15
2020,1,2,18,-1.76
2020,1,2,19,-2.42
2020,1,2,20,-2.96
2020,1,2,21,-3.08
2020,1,2,22,-2.7
2020,1,2,23,-2.45
2020,1,3,0,-2.67
2020,1,3,1,-2.63
2020,1,3,2,-2.63
2020,1,3,3,-1.97
2020,1,3,4,-1.6
2020,1,3,5,-1.77
2020,1,3,6,-2.22
2020,1,3,7,-2.45
2020,1,3,8,-1.34
2020,1,3,9,1.56
2020,1,3,10,3.27
2020,1,3,11,4.49
2020,1,3,12,5.48
2020,1,3,13,6.03
2020,1,3,14,5.36
2020,1,3,15,2.36
2020,1,3,16,-0.59
2020,1,3,17,-1.2
2020,1,3,18,-1.35
2020,1,3,19,-1.38
2020,1,3,20,-1.28
2020,1,3,21,-1.6
2020,1,3,22,-2.31
2020,1,3,23,-2.73
2020,1,4,0,-3.03
2020,1,4,1,-3.2
2020,1,4,2,-3.38
2020,1,4,3,-3.56
2020,1,4,4,-3.68
2020,1,4,5,-3.7
2020,1,4,6,-3.71
2020,1,4,7,-3.67
2020,1,4,8,-2.49
2020,1,4,9,0.32
2020,1,4,10,1.96
2020,1,4,11,3.4
2020,1,4,12,4.44
2020,1,4,13,5.22
2020,1,4,14,5.23
2020,1,4,15,3.62
2020,1,4,16,1.69
